S-10B
S-27C Google 10 [0.4634146341463415] S:7, I:0, D:11
S-27C Kaldi 10 [0.34146341463414637] S:8, I:0, D:6
S-27C Google 11 [0.46938775510204084] S:14, I:1, D:31
S-27C Kaldi 11 [0.2755102040816326] S:12, I:0, D:15
S-23C
S-23C Google 0 [0.3167701863354037] S:25, I:0, D:23
S-23C Kaldi 0 [0.19875776397515527] S:24, I:1, D:7
S-23C Google 1 [0.4577114427860697] S:47, I:1, D:44
S-23C Kaldi 1 [0.32338308457711445] S:43, I:3, D:17
S-23C Google 2 [0.42528735632183906] S:39, I:7, D:25
S-23C Kaldi 2 [0.3505747126436782] S:27, I:16, D:18
S-23C Google 3 [0.5700934579439252] S:68, I:1, D:52
S-23C Kaldi 3 [0.4158878504672897] S:64, I:3, D:22
S-23C Google 4 [0.4560669456066946] S:94, I:1, D:123
S-23C Kaldi 4 [0.27405857740585776] S:82, I:3, D:46
S-23C Google 5 [0.35294117647058826] S:37, I:1, D:64
S-23C Kaldi 5 [0.22491349480968859] S:35, I:4, D:26
S-23C Google 6 [0.38461538461538464] S:3, I:0, D:11
S-23C Kaldi 6 [0.20512820512820512] S:5, I:0, D:3
S-23C Google 7 [0.3382352941176471] S:16, I:0, D:7
S-23C Kaldi 7 [0.17647058823529413] S:10, I:0, D:2
S-23C Google 8 [0.39285714285714285] S:15, I:1, D:16
S-23C Kaldi 8 [0.3333333333333333] S:17, I:3, D:8
S-23C Google 9 [0.38095238095238093] S:6, I:0, D:1
S-23C Kaldi 9 [0.3333333333333333] S:5, I:2, D:0
S-23C Google 10 [0.6590909090909091] S:12, I:0, D:15
S-23C Kaldi 10 [0.29545454545454547] S:12, I:0, D:1
S-23C Google 11 [0.45517241379310347] S:32, I:1, D:33
S-23C Kaldi 11 [0.22758620689655173] S:22, I:0, D:11
S-6B
S-6B Google 0 [0.5611510791366906] S:40, I:1, D:30
S-6B Kaldi 0 [0.43884892086330934] S:44, I:3, D:12
S-6B Google 1 [0.43842364532019706] S:46, I:1, D:42
S-6B Kaldi 1 [0.3251231527093596] S:45, I:6, D:15
S-6B Google 2 [0.31338028169014087] S:48, I:1, D:33
S-6B Kaldi 2 [0.15140845070422534] S:24, I:2, D:13
S-6B Google 3 [0.41237113402061853] S:41, I:0, D:36
S-6B Kaldi 3 [0.24742268041237114] S:30, I:6, D:12
S-6B Google 4 [0.2806603773584906] S:63, I:3, D:47
S-6B Kaldi 4 [0.1792452830188679] S:49, I:9, D:18
S-6B Google 5 [0.2768595041322314] S:64, I:6, D:57
S-6B Kaldi 5 [0.10950413223140495] S:28, I:6, D:19
S-5A
S-5A Google 0 [0.5353982300884956] S:103, I:1, D:136
S-5A Kaldi 0 [0.3584070796460177] S:110, I:10, D:38
S-5A Google 1 [0.5] S:44, I:1, D:68
S-5A Kaldi 1 [0.3] S:43, I:4, D:22
S-5A Google 2 [0.44296296296296295] S:138, I:6, D:154
S-5A Kaldi 2 [0.29333333333333333] S:115, I:20, D:63
S-5A Google 3 [0.42485549132947975] S:59, I:1, D:86
S-5A Kaldi 3 [0.24277456647398843] S:50, I:6, D:28
S-5A Google 4 [0.4179566563467492] S:56, I:1, D:77
S-5A Kaldi 4 [0.22910216718266255] S:44, I:4, D:26
S-5A Google 5 [0.48261758691206547] S:113, I:1, D:118
S-5A Kaldi 5 [0.2903885480572597] S:88, I:5, D:48
S-11C
S-11C Google 0 [0.27461139896373055] S:17, I:2, D:31
S-11C Kaldi 0 [0.17098445595854922] S:23, I:3, D:7
S-11C Google 1 [0.4258064516129032] S:19, I:0, D:46
S-11C Kaldi 1 [0.23225806451612904] S:27, I:0, D:9
S-11C Google 2 [0.2648648648648649] S:55, I:0, D:41
S-11C Kaldi 2 [0.1837837837837838] S:42, I:5, D:21
S-11C Google 3 [0.2692307692307692] S:37, I:0, D:67
S-11C Kaldi 3 [0.19487179487179487] S:44, I:3, D:29
S-11C Google 4 [0.22887323943661972] S:74, I:1, D:54
S-11C Kaldi 4 [0.10035211267605634] S:32, I:2, D:23
S-11C Google 5 [0.22265625] S:59, I:2, D:52
S-11C Kaldi 5 [0.11328125] S:31, I:7, D:20
S-11C Google 6 [0.2898550724637681] S:33, I:1, D:24
S-11C Kaldi 6 [0.19806763285024154] S:25, I:4, D:12
S-11C Google 7 [0.2637795275590551] S:36, I:1, D:29
S-11C Kaldi 7 [0.12598425196850394] S:19, I:0, D:12
S-11C Google 8 [0.26732673267326734] S:13, I:1, D:12
S-11C Kaldi 8 [0.18811881188118812] S:10, I:5, D:3
S-16D
S-16D Google 0 [0.26229508196721313] S:43, I:2, D:32
S-16D Kaldi 0 [0.22950819672131148] S:51, I:7, D:9
S-16D Google 1 [0.22111553784860558] S:45, I:1, D:64
S-16D Kaldi 1 [0.19123505976095617] S:61, I:8, D:25
S-16D Google 2 [0.2755102040816326] S:30, I:1, D:49
S-16D Kaldi 2 [0.23809523809523808] S:48, I:7, D:15
S-16D Google 3 [0.21224489795918366] S:44, I:2, D:58
S-16D Kaldi 3 [0.16122448979591836] S:48, I:12, D:16
S-16D Google 4 [0.255] S:37, I:2, D:61
S-16D Kaldi 4 [0.1825] S:51, I:2, D:19
S-16D Google 5 [0.2440677966101695] S:26, I:1, D:45
S-16D Kaldi 5 [0.2305084745762712] S:51, I:7, D:10
S-16D Google 6 [0.4051724137931034] S:15, I:0, D:26
S-16D Kaldi 6 [0.3448275862068966] S:23, I:8, D:9
S-16D Google 7 [0.3333333333333333] S:6, I:1, D:8
S-16D Kaldi 7 [0.2962962962962963] S:15, I:1, D:0
S-16D Google 8 [0.2692307692307692] S:14, I:0, D:19
S-16D Kaldi 8 [0.18461538461538463] S:16, I:1, D:7
S-16D Google 9 [0.5] S:2, I:0, D:3
S-16D Kaldi 9 [0.42857142857142855] S:11, I:0, D:1
S-16D Google 10 [0.34210526315789475] S:8, I:0, D:5
S-16D Kaldi 10 [0.2631578947368421] S:8, I:0, D:1
S-16D Google 11 [0.23376623376623376] S:4, I:0, D:13
S-16D Kaldi 11 [0.23376623376623376] S:11, I:6, D:1
S-16D Google 12 [0.27906976744186046] S:3, I:0, D:8
S-16D Kaldi 12 [0.23255813953488372] S:8, I:2, D:0
S-20D
S-20D Google 0 [0.5137254901960784] S:60, I:0, D:69
S-20D Kaldi 0 [0.396078431372549] S:61, I:7, D:33
S-20D Google 1 [0.4053156146179402] S:70, I:2, D:50
S-20D Kaldi 1 [0.26578073089701] S:47, I:6, D:27
S-20D Google 2 [0.46357615894039733] S:56, I:0, D:78
S-20D Kaldi 2 [0.31125827814569534] S:65, I:3, D:24
S-20D Google 3 [0.41964285714285715] S:48, I:1, D:39
S-20D Kaldi 3 [0.38392857142857145] S:57, I:0, D:27
S-20D Google 4 [0.36187845303867405] S:145, I:7, D:110
S-20D Kaldi 4 [0.28314917127071826] S:144, I:19, D:42
S-20D Google 5 [0.40096618357487923] S:71, I:3, D:90
S-20D Kaldi 5 [0.2826086956521739] S:76, I:8, D:33
S-20D Google 6 [0.8125] S:3, I:0, D:17
S-20D Kaldi 6 [0.78125] S:19, I:1, D:1
S-20D Google 7 [0.75] S:17, I:0, D:14
S-20D Kaldi 7 [0.5909090909090909] S:23, I:0, D:2
S-20D Google 8 [0.5555555555555556] S:6, I:0, D:4
